fault_code,device_type,system_affected,root_cause,severity,avg_parts_cost,avg_labor_hours
EV_BATT_THERM,Automotive,Thermal,Battery Coolant Loop Failure,3,4850.0,9.5
EV_DRIVE_INV,Automotive,Power Train,Drive Unit Inverter Anomaly,3,6800.0,12.5
SUSP_AIR_LEAK,Automotive,Chassis,Active Air Suspension Leak,3,3200.0,6.5
ERR_OBC_FAIL,Automotive,Charging,On-Board Charger Failure,3,2450.0,4.5
P0700,Automotive,Transmission,TCM/PDK Control Malfunction,3,2400.0,10.5
U0100,Automotive,Communication,High-Voltage Gateway Comm Loss,3,1550.0,5.5
P0300,Automotive,Engine,Misfire Cluster Detected ICE,3,125.0,6.6
P0128,Automotive,Cooling,Thermostat Rationality Error,1,850.0,2.5
P0171,Automotive,Fuel System,Fuel Trim System Lean Bank 1,2,420.0,3.0
P0420,Automotive,Exhaust,Catalyst System Efficiency Below Threshold,2,2200.0,4.0
P0505,Automotive,Throttle,Idle Control System Malfunction,1,380.0,2.5
P0340,Automotive,Ignition,Camshaft Position Sensor Circuit,2,320.0,3.5
P0455,Automotive,Emissions,EVAP System Large Leak Detected,2,180.0,2.0
B0001,Automotive,Safety,Airbag Deployment Circuit Fault,3,1850.0,6.0
C0031,Automotive,Brakes,ABS Wheel Speed Sensor Fault,2,280.0,2.5
P0300_V001,Automotive,Engine,Misfire Cluster Detected ICE (Variant),3,111.34,6.7
P0455_V002,Automotive,Emissions,EVAP System Large Leak Detected (Variant),2,173.79,1.7
B0001_V003,Automotive,Safety,Airbag Deployment Circuit Fault (Variant),3,2070.64,6.8
B0001_V004,Automotive,Safety,Airbag Deployment Circuit Fault (Variant),3,1612.85,6.3
ERR_OBC_FAIL_V005,Automotive,Charging,On-Board Charger Failure (Variant),3,2117.04,4.8
P0505_V006,Automotive,Throttle,Idle Control System Malfunction (Variant),1,408.03,2.7
C0031_V007,Automotive,Brakes,ABS Wheel Speed Sensor Fault (Variant),2,317.55,2.4
P0505_V008,Automotive,Throttle,Idle Control System Malfunction (Variant),1,332.35,2.2
P0171_V009,Automotive,Fuel System,Fuel Trim System Lean Bank 1 (Variant),2,437.0,3.1
P0340_V010,Automotive,Ignition,Camshaft Position Sensor Circuit (Variant),2,352.18,4.0
B0001_V011,Automotive,Safety,Airbag Deployment Circuit Fault (Variant),3,1915.05,5.1
P0340_V012,Automotive,Ignition,Camshaft Position Sensor Circuit (Variant),2,282.72,3.4
U0100_V013,Automotive,Communication,High-Voltage Gateway Comm Loss (Variant),3,1532.14,5.4
P0420_V014,Automotive,Exhaust,Catalyst System Efficiency Below Threshold (Variant),2,2412.03,3.7
EV_BATT_THERM_V015,Automotive,Thermal,Battery Coolant Loop Failure (Variant),3,5672.25,9.1
P0455_V016,Automotive,Emissions,EVAP System Large Leak Detected (Variant),2,207.36,1.9
EV_BATT_THERM_V017,Automotive,Thermal,Battery Coolant Loop Failure (Variant),3,5650.56,8.4
U0100_V018,Automotive,Communication,High-Voltage Gateway Comm Loss (Variant),3,1664.72,4.7
ERR_OBC_FAIL_V019,Automotive,Charging,On-Board Charger Failure (Variant),3,2553.97,4.0
P0505_V020,Automotive,Throttle,Idle Control System Malfunction (Variant),1,347.82,2.7
U0100_V021,Automotive,Communication,High-Voltage Gateway Comm Loss (Variant),3,1343.82,4.7
B0001_V022,Automotive,Safety,Airbag Deployment Circuit Fault (Variant),3,2027.63,5.4
EV_BATT_THERM_V023,Automotive,Thermal,Battery Coolant Loop Failure (Variant),3,3982.88,9.8
P0455_V024,Automotive,Emissions,EVAP System Large Leak Detected (Variant),2,145.76,1.7
P0505_V025,Automotive,Throttle,Idle Control System Malfunction (Variant),1,418.66,2.7
P0340_V026,Automotive,Ignition,Camshaft Position Sensor Circuit (Variant),2,312.0,3.3
C0031_V027,Automotive,Brakes,ABS Wheel Speed Sensor Fault (Variant),2,290.12,2.7
P0505_V028,Automotive,Throttle,Idle Control System Malfunction (Variant),1,401.78,2.3
B0001_V029,Automotive,Safety,Airbag Deployment Circuit Fault (Variant),3,1505.7,5.6
C0031_V030,Automotive,Brakes,ABS Wheel Speed Sensor Fault (Variant),2,305.8,2.4
P0420_V031,Automotive,Exhaust,Catalyst System Efficiency Below Threshold (Variant),2,2367.67,3.7
SUSP_AIR_LEAK_V032,Automotive,Chassis,Active Air Suspension Leak (Variant),3,2659.14,5.7
EV_BATT_THERM_V033,Automotive,Thermal,Battery Coolant Loop Failure (Variant),3,5523.56,9.9
P0420_V034,Automotive,Exhaust,Catalyst System Efficiency Below Threshold (Variant),2,2123.35,4.5
P0340_V035,Automotive,Ignition,Camshaft Position Sensor Circuit (Variant),2,257.45,3.5
ERR_OBC_FAIL_V036,Automotive,Charging,On-Board Charger Failure (Variant),3,2409.83,3.9
P0455_V037,Automotive,Emissions,EVAP System Large Leak Detected (Variant),2,183.45,1.8
P0700_V038,Automotive,Transmission,TCM/PDK Control Malfunction (Variant),3,2603.77,9.6
EV_DRIVE_INV_V039,Automotive,Power Train,Drive Unit Inverter Anomaly (Variant),3,7715.41,13.1
P0340_V040,Automotive,Ignition,Camshaft Position Sensor Circuit (Variant),2,354.42,3.5
P0420_V041,Automotive,Exhaust,Catalyst System Efficiency Below Threshold (Variant),2,1840.77,3.7
C0031_V042,Automotive,Brakes,ABS Wheel Speed Sensor Fault (Variant),2,334.12,2.4
C0031_V043,Automotive,Brakes,ABS Wheel Speed Sensor Fault (Variant),2,282.91,2.4
B0001_V044,Automotive,Safety,Airbag Deployment Circuit Fault (Variant),3,1487.66,5.6
ERR_OBC_FAIL_V045,Automotive,Charging,On-Board Charger Failure (Variant),3,2764.98,4.2
P0300_V046,Automotive,Engine,Misfire Cluster Detected ICE (Variant),3,137.44,6.5
ERR_OBC_FAIL_V047,Automotive,Charging,On-Board Charger Failure (Variant),3,2813.67,4.1
U0100_V048,Automotive,Communication,High-Voltage Gateway Comm Loss (Variant),3,1260.83,5.0
B0001_V049,Automotive,Safety,Airbag Deployment Circuit Fault (Variant),3,2165.58,5.2
EV_BATT_THERM_V050,Automotive,Thermal,Battery Coolant Loop Failure (Variant),3,4893.45,10.6
ERR_OBC_FAIL_V051,Automotive,Charging,On-Board Charger Failure (Variant),3,2340.48,4.3
B0001_V052,Automotive,Safety,Airbag Deployment Circuit Fault (Variant),3,1775.08,6.1
EV_DRIVE_INV_V053,Automotive,Power Train,Drive Unit Inverter Anomaly (Variant),3,6118.33,14.0
P0300_V054,Automotive,Engine,Misfire Cluster Detected ICE (Variant),3,144.62,6.1
P0300_V055,Automotive,Engine,Misfire Cluster Detected ICE (Variant),3,120.43,6.7
P0171_V056,Automotive,Fuel System,Fuel Trim System Lean Bank 1 (Variant),2,460.56,3.0
P0128_V057,Automotive,Cooling,Thermostat Rationality Error (Variant),1,1003.82,2.6
U0100_V058,Automotive,Communication,High-Voltage Gateway Comm Loss (Variant),3,1701.39,6.3
C0031_V059,Automotive,Brakes,ABS Wheel Speed Sensor Fault (Variant),2,301.06,2.7
U0100_V060,Automotive,Communication,High-Voltage Gateway Comm Loss (Variant),3,1851.12,6.1
P0505_V061,Automotive,Throttle,Idle Control System Malfunction (Variant),1,306.49,2.9
EV_DRIVE_INV_V062,Automotive,Power Train,Drive Unit Inverter Anomaly (Variant),3,7896.71,12.2
EV_DRIVE_INV_V063,Automotive,Power Train,Drive Unit Inverter Anomaly (Variant),3,7605.85,12.5
U0100_V064,Automotive,Communication,High-Voltage Gateway Comm Loss (Variant),3,1363.27,6.2
P0171_V065,Automotive,Fuel System,Fuel Trim System Lean Bank 1 (Variant),2,503.55,3.3
P0128_V066,Automotive,Cooling,Thermostat Rationality Error (Variant),1,903.71,2.7
P0128_V067,Automotive,Cooling,Thermostat Rationality Error (Variant),1,827.81,2.5
U0100_V068,Automotive,Communication,High-Voltage Gateway Comm Loss (Variant),3,1506.27,5.2
P0505_V069,Automotive,Throttle,Idle Control System Malfunction (Variant),1,438.64,2.3
P0300_V070,Automotive,Engine,Misfire Cluster Detected ICE (Variant),3,125.5,6.7
B0001_V071,Automotive,Safety,Airbag Deployment Circuit Fault (Variant),3,1532.8,5.2
P0700_V072,Automotive,Transmission,TCM/PDK Control Malfunction (Variant),3,2014.03,11.3
P0505_V073,Automotive,Throttle,Idle Control System Malfunction (Variant),1,367.83,2.4
U0100_V074,Automotive,Communication,High-Voltage Gateway Comm Loss (Variant),3,1655.23,4.7
EV_DRIVE_INV_V075,Automotive,Power Train,Drive Unit Inverter Anomaly (Variant),3,5655.44,12.4
U0100_V076,Automotive,Communication,High-Voltage Gateway Comm Loss (Variant),3,1401.61,4.9
P0340_V077,Automotive,Ignition,Camshaft Position Sensor Circuit (Variant),2,317.67,3.5
P0700_V078,Automotive,Transmission,TCM/PDK Control Malfunction (Variant),3,2077.97,9.3
P0420_V079,Automotive,Exhaust,Catalyst System Efficiency Below Threshold (Variant),2,2333.87,4.2
P0505_V080,Automotive,Throttle,Idle Control System Malfunction (Variant),1,309.71,2.6
U0100_V081,Automotive,Communication,High-Voltage Gateway Comm Loss (Variant),3,1432.05,6.2
EV_BATT_THERM_V082,Automotive,Thermal,Battery Coolant Loop Failure (Variant),3,4566.36,10.7
P0455_V083,Automotive,Emissions,EVAP System Large Leak Detected (Variant),2,166.67,1.9
SUSP_AIR_LEAK_V084,Automotive,Chassis,Active Air Suspension Leak (Variant),3,3744.69,5.6
P0128_V085,Automotive,Cooling,Thermostat Rationality Error (Variant),1,1005.63,2.3
ERR_OBC_FAIL_V086,Automotive,Charging,On-Board Charger Failure (Variant),3,2456.46,4.7
C0031_V087,Automotive,Brakes,ABS Wheel Speed Sensor Fault (Variant),2,275.82,2.2
EV_BATT_THERM_V088,Automotive,Thermal,Battery Coolant Loop Failure (Variant),3,5819.96,9.8
EV_BATT_THERM_V089,Automotive,Thermal,Battery Coolant Loop Failure (Variant),3,5365.61,8.8
ERR_OBC_FAIL_V090,Automotive,Charging,On-Board Charger Failure (Variant),3,2411.99,4.7
ERR_OBC_FAIL_V091,Automotive,Charging,On-Board Charger Failure (Variant),3,2931.59,5.2
EV_BATT_THERM_V092,Automotive,Thermal,Battery Coolant Loop Failure (Variant),3,3986.6,9.4
P0700_V093,Automotive,Transmission,TCM/PDK Control Malfunction (Variant),3,2798.28,11.1
P0420_V094,Automotive,Exhaust,Catalyst System Efficiency Below Threshold (Variant),2,2617.13,4.3
P0340_V095,Automotive,Ignition,Camshaft Position Sensor Circuit (Variant),2,283.62,3.1
P0505_V096,Automotive,Throttle,Idle Control System Malfunction (Variant),1,424.8,2.1
ERR_OBC_FAIL_V097,Automotive,Charging,On-Board Charger Failure (Variant),3,2725.07,4.5
P0420_V098,Automotive,Exhaust,Catalyst System Efficiency Below Threshold (Variant),2,2100.26,4.5
B0001_V099,Automotive,Safety,Airbag Deployment Circuit Fault (Variant),3,1591.73,6.8
P0505_V100,Automotive,Throttle,Idle Control System Malfunction (Variant),1,435.09,2.5
EV_BATT_THERM_V101,Automotive,Thermal,Battery Coolant Loop Failure (Variant),3,5538.13,8.8
P0420_V102,Automotive,Exhaust,Catalyst System Efficiency Below Threshold (Variant),2,2426.87,4.4
P0455_V103,Automotive,Emissions,EVAP System Large Leak Detected (Variant),2,202.11,2.1
P0340_V104,Automotive,Ignition,Camshaft Position Sensor Circuit (Variant),2,261.78,3.3
C0031_V105,Automotive,Brakes,ABS Wheel Speed Sensor Fault (Variant),2,277.34,2.1
C0031_V106,Automotive,Brakes,ABS Wheel Speed Sensor Fault (Variant),2,329.13,2.1
P0171_V107,Automotive,Fuel System,Fuel Trim System Lean Bank 1 (Variant),2,359.19,3.4
U0100_V108,Automotive,Communication,High-Voltage Gateway Comm Loss (Variant),3,1842.68,5.1
P0128_V109,Automotive,Cooling,Thermostat Rationality Error (Variant),1,954.76,2.5
P0300_V110,Automotive,Engine,Misfire Cluster Detected ICE (Variant),3,126.25,6.9
ERR_DISP_01,Mobile,Display,Organic LED Flicker Pro-Grade,1,380.0,1.2
ERR_BATT_01,Mobile,Battery,Lithium Ion Cell Swelling,3,245.0,2.0
ERR_BATT_03,Mobile,Battery,Degraded Capacity Below 70%,2,225.0,1.4
ERR_CPU_TEM,Mobile,Processor,Thermal Throttling Event,3,245.0,1.1
ERR_WIFI_AN,Mobile,Networking,Antenna Signal Attenuation,1,195.0,1.8
ERR_PWR_IC,Mobile,Power Management,Charge Controller Short Circuit,3,380.0,1.5
ERR_DISP_BRK,Mobile,Display,Shattered Display Assembly LTPO OLED,2,650.0,2.5
ERR_CAM_MOD,Mobile,Camera,Optical Image Stabilizer Failure,2,320.0,1.8
ERR_USB_C,Mobile,Charging,USB-C Port Debris Pin Damage,1,95.0,0.8
ERR_FACE_ID,Mobile,Biometrics,TrueDepth Camera Misalignment,2,480.0,2.2
ERR_SPKR_BLW,Mobile,Audio,Speaker Voice Coil Blown,1,145.0,1.2
ERR_WIFI_AN_V001,Mobile,Networking,Antenna Signal Attenuation (Variant),1,169.09,1.6
ERR_WIFI_AN_V002,Mobile,Networking,Antenna Signal Attenuation (Variant),1,191.42,1.6
ERR_DISP_BRK_V003,Mobile,Display,Shattered Display Assembly LTPO OLED (Variant),2,708.05,2.2
ERR_CPU_TEM_V004,Mobile,Processor,Thermal Throttling Event (Variant),3,221.95,1.1
ERR_PWR_IC_V005,Mobile,Power Management,Charge Controller Short Circuit (Variant),3,328.63,1.3
ERR_WIFI_AN_V006,Mobile,Networking,Antenna Signal Attenuation (Variant),1,233.06,1.6
ERR_USB_C_V007,Mobile,Charging,USB-C Port Debris Pin Damage (Variant),1,87.29,0.8
ERR_DISP_BRK_V008,Mobile,Display,Shattered Display Assembly LTPO OLED (Variant),2,691.87,2.4
ERR_BATT_03_V009,Mobile,Battery,Degraded Capacity Below 70% (Variant),2,215.43,1.4
ERR_DISP_BRK_V010,Mobile,Display,Shattered Display Assembly LTPO OLED (Variant),2,747.94,2.8
ERR_BATT_01_V011,Mobile,Battery,Lithium Ion Cell Swelling (Variant),3,267.05,1.7
ERR_WIFI_AN_V012,Mobile,Networking,Antenna Signal Attenuation (Variant),1,166.67,1.9
ERR_PWR_IC_V013,Mobile,Power Management,Charge Controller Short Circuit (Variant),3,406.92,1.4
ERR_PWR_IC_V014,Mobile,Power Management,Charge Controller Short Circuit (Variant),3,383.35,1.5
ERR_DISP_BRK_V015,Mobile,Display,Shattered Display Assembly LTPO OLED (Variant),2,571.04,2.8
ERR_BATT_01_V016,Mobile,Battery,Lithium Ion Cell Swelling (Variant),3,219.22,2.1
ERR_DISP_01_V017,Mobile,Display,Organic LED Flicker Pro-Grade (Variant),1,398.8,1.4
ERR_PWR_IC_V018,Mobile,Power Management,Charge Controller Short Circuit (Variant),3,314.92,1.6
ERR_USB_C_V019,Mobile,Charging,USB-C Port Debris Pin Damage (Variant),1,106.53,0.8
ERR_WIFI_AN_V020,Mobile,Networking,Antenna Signal Attenuation (Variant),1,166.23,1.8
ERR_PWR_IC_V021,Mobile,Power Management,Charge Controller Short Circuit (Variant),3,364.35,1.7
ERR_PWR_IC_V022,Mobile,Power Management,Charge Controller Short Circuit (Variant),3,341.65,1.5
ERR_SPKR_BLW_V023,Mobile,Audio,Speaker Voice Coil Blown (Variant),1,138.65,1.3
ERR_CPU_TEM_V024,Mobile,Processor,Thermal Throttling Event (Variant),3,228.32,1.2
ERR_DISP_01_V025,Mobile,Display,Organic LED Flicker Pro-Grade (Variant),1,353.14,1.1
ERR_FACE_ID_V026,Mobile,Biometrics,TrueDepth Camera Misalignment (Variant),2,546.52,2.3
ERR_CPU_TEM_V027,Mobile,Processor,Thermal Throttling Event (Variant),3,252.74,1.2
ERR_WIFI_AN_V028,Mobile,Networking,Antenna Signal Attenuation (Variant),1,195.31,1.6
ERR_USB_C_V029,Mobile,Charging,USB-C Port Debris Pin Damage (Variant),1,92.65,0.9
ERR_BATT_01_V030,Mobile,Battery,Lithium Ion Cell Swelling (Variant),3,277.41,2.0
ERR_CAM_MOD_V031,Mobile,Camera,Optical Image Stabilizer Failure (Variant),2,274.86,1.8
ERR_SPKR_BLW_V032,Mobile,Audio,Speaker Voice Coil Blown (Variant),1,152.42,1.0
ERR_WIFI_AN_V033,Mobile,Networking,Antenna Signal Attenuation (Variant),1,197.55,1.8
ERR_DISP_01_V034,Mobile,Display,Organic LED Flicker Pro-Grade (Variant),1,418.66,1.2
ERR_USB_C_V035,Mobile,Charging,USB-C Port Debris Pin Damage (Variant),1,107.23,0.7
ERR_PWR_IC_V036,Mobile,Power Management,Charge Controller Short Circuit (Variant),3,374.23,1.6
ERR_CPU_TEM_V037,Mobile,Processor,Thermal Throttling Event (Variant),3,221.3,1.0
ERR_PWR_IC_V038,Mobile,Power Management,Charge Controller Short Circuit (Variant),3,311.73,1.7
ERR_WIFI_AN_V039,Mobile,Networking,Antenna Signal Attenuation (Variant),1,227.75,1.9
ERR_WIFI_AN_V040,Mobile,Networking,Antenna Signal Attenuation (Variant),1,222.45,1.7
ERR_PWR_IC_V041,Mobile,Power Management,Charge Controller Short Circuit (Variant),3,364.56,1.6
ERR_SPKR_BLW_V042,Mobile,Audio,Speaker Voice Coil Blown (Variant),1,150.58,1.1
ERR_SPKR_BLW_V043,Mobile,Audio,Speaker Voice Coil Blown (Variant),1,117.61,1.3
ERR_CPU_TEM_V044,Mobile,Processor,Thermal Throttling Event (Variant),3,231.42,1.3
ERR_USB_C_V045,Mobile,Charging,USB-C Port Debris Pin Damage (Variant),1,79.63,0.8
ERR_CAM_MOD_V046,Mobile,Camera,Optical Image Stabilizer Failure (Variant),2,284.66,1.8
ERR_PWR_IC_V047,Mobile,Power Management,Charge Controller Short Circuit (Variant),3,383.88,1.6
ERR_FACE_ID_V048,Mobile,Biometrics,TrueDepth Camera Misalignment (Variant),2,473.47,2.4
ERR_WIFI_AN_V049,Mobile,Networking,Antenna Signal Attenuation (Variant),1,214.65,1.8
ERR_USB_C_V050,Mobile,Charging,USB-C Port Debris Pin Damage (Variant),1,109.71,0.9
ERR_BATT_03_V051,Mobile,Battery,Degraded Capacity Below 70% (Variant),2,260.08,1.5
ERR_SPKR_BLW_V052,Mobile,Audio,Speaker Voice Coil Blown (Variant),1,139.2,1.1
ERR_PWR_IC_V053,Mobile,Power Management,Charge Controller Short Circuit (Variant),3,428.2,1.7
ERR_DISP_01_V054,Mobile,Display,Organic LED Flicker Pro-Grade (Variant),1,343.01,1.2
ERR_SPKR_BLW_V055,Mobile,Audio,Speaker Voice Coil Blown (Variant),1,151.76,1.1
ERR_USB_C_V056,Mobile,Charging,USB-C Port Debris Pin Damage (Variant),1,77.34,0.8
ERR_WIFI_AN_V057,Mobile,Networking,Antenna Signal Attenuation (Variant),1,172.35,1.6
ERR_CPU_TEM_V058,Mobile,Processor,Thermal Throttling Event (Variant),3,208.27,1.0
ERR_DISP_BRK_V059,Mobile,Display,Shattered Display Assembly LTPO OLED (Variant),2,596.0,2.2
ERR_CAM_MOD_V060,Mobile,Camera,Optical Image Stabilizer Failure (Variant),2,294.47,2.0
ERR_SPKR_BLW_V061,Mobile,Audio,Speaker Voice Coil Blown (Variant),1,162.09,1.0
ERR_BATT_01_V062,Mobile,Battery,Lithium Ion Cell Swelling (Variant),3,220.57,2.0
ERR_BATT_03_V063,Mobile,Battery,Degraded Capacity Below 70% (Variant),2,210.67,1.6
ERR_BATT_01_V064,Mobile,Battery,Lithium Ion Cell Swelling (Variant),3,233.9,2.1
ERR_USB_C_V065,Mobile,Charging,USB-C Port Debris Pin Damage (Variant),1,108.77,0.9
ERR_PWR_IC_V066,Mobile,Power Management,Charge Controller Short Circuit (Variant),3,388.1,1.3
ERR_CAM_MOD_V067,Mobile,Camera,Optical Image Stabilizer Failure (Variant),2,361.03,2.0
ERR_WIFI_AN_V068,Mobile,Networking,Antenna Signal Attenuation (Variant),1,222.86,1.8
ERR_DISP_01_V069,Mobile,Display,Organic LED Flicker Pro-Grade (Variant),1,422.14,1.1
ERR_BATT_03_V070,Mobile,Battery,Degraded Capacity Below 70% (Variant),2,209.53,1.5
ERR_USB_C_V071,Mobile,Charging,USB-C Port Debris Pin Damage (Variant),1,91.61,0.9
ERR_PWR_IC_V072,Mobile,Power Management,Charge Controller Short Circuit (Variant),3,327.83,1.4
ERR_WIFI_AN_V073,Mobile,Networking,Antenna Signal Attenuation (Variant),1,164.63,1.7
ERR_FACE_ID_V074,Mobile,Biometrics,TrueDepth Camera Misalignment (Variant),2,425.56,2.1
ERR_USB_C_V075,Mobile,Charging,USB-C Port Debris Pin Damage (Variant),1,107.34,0.9
ERR_CPU_TEM_V076,Mobile,Processor,Thermal Throttling Event (Variant),3,226.7,1.2
ERR_USB_C_V077,Mobile,Charging,USB-C Port Debris Pin Damage (Variant),1,76.44,0.8
ERR_PWR_IC_V078,Mobile,Power Management,Charge Controller Short Circuit (Variant),3,322.09,1.5
ERR_SPKR_BLW_V079,Mobile,Audio,Speaker Voice Coil Blown (Variant),1,144.31,1.1
ERR_CAM_MOD_V080,Mobile,Camera,Optical Image Stabilizer Failure (Variant),2,346.64,1.8
ERR_FACE_ID_V081,Mobile,Biometrics,TrueDepth Camera Misalignment (Variant),2,492.32,2.5
ERR_FACE_ID_V082,Mobile,Biometrics,TrueDepth Camera Misalignment (Variant),2,545.72,2.4
ERR_DISP_01_V083,Mobile,Display,Organic LED Flicker Pro-Grade (Variant),1,371.41,1.2
ERR_FACE_ID_V084,Mobile,Biometrics,TrueDepth Camera Misalignment (Variant),2,521.23,2.3
ERR_BATT_03_V085,Mobile,Battery,Degraded Capacity Below 70% (Variant),2,232.82,1.6
ERR_SPKR_BLW_V086,Mobile,Audio,Speaker Voice Coil Blown (Variant),1,143.61,1.1
ERR_FACE_ID_V087,Mobile,Biometrics,TrueDepth Camera Misalignment (Variant),2,430.8,2.1
ERR_FACE_ID_V088,Mobile,Biometrics,TrueDepth Camera Misalignment (Variant),2,388.09,2.3
ERR_WIFI_AN_V089,Mobile,Networking,Antenna Signal Attenuation (Variant),1,214.1,1.8
ERR_FACE_ID_V090,Mobile,Biometrics,TrueDepth Camera Misalignment (Variant),2,419.0,2.3
ERR_WIFI_AN_V091,Mobile,Networking,Antenna Signal Attenuation (Variant),1,196.41,1.8
ERR_WIFI_AN_V092,Mobile,Networking,Antenna Signal Attenuation (Variant),1,202.93,2.0
ERR_BATT_03_V093,Mobile,Battery,Degraded Capacity Below 70% (Variant),2,214.16,1.3
ERR_DISP_BRK_V094,Mobile,Display,Shattered Display Assembly LTPO OLED (Variant),2,574.06,2.8
ERR_USB_C_V095,Mobile,Charging,USB-C Port Debris Pin Damage (Variant),1,91.59,0.9
ERR_USB_C_V096,Mobile,Charging,USB-C Port Debris Pin Damage (Variant),1,109.92,0.8
ERR_PWR_IC_V097,Mobile,Power Management,Charge Controller Short Circuit (Variant),3,319.68,1.3
ERR_FACE_ID_V098,Mobile,Biometrics,TrueDepth Camera Misalignment (Variant),2,398.37,2.4
ERR_CPU_TEM_V099,Mobile,Processor,Thermal Throttling Event (Variant),3,210.64,1.3
ERR_CAM_MOD_V100,Mobile,Camera,Optical Image Stabilizer Failure (Variant),2,349.58,1.8
ERR_PWR_IC_V101,Mobile,Power Management,Charge Controller Short Circuit (Variant),3,398.38,1.5
ERR_BATT_01_V102,Mobile,Battery,Lithium Ion Cell Swelling (Variant),3,215.84,1.7
ERR_DISP_BRK_V103,Mobile,Display,Shattered Display Assembly LTPO OLED (Variant),2,755.71,2.6
ERR_DISP_BRK_V104,Mobile,Display,Shattered Display Assembly LTPO OLED (Variant),2,626.73,2.8
ERR_DISP_BRK_V105,Mobile,Display,Shattered Display Assembly LTPO OLED (Variant),2,600.21,2.3
ERR_SPKR_BLW_V106,Mobile,Audio,Speaker Voice Coil Blown (Variant),1,172.24,1.2
